system:index,VH_before,VH_event,VV_before,VV_event,VV_minus_VH_event,class,dVH_event_before,dVV_event_before,elevation,random,slope,.geo
94,-14.903781,-20.134514,-8.041148,-13.015067,7.119446,0,-5.2307324,-4.9739184,10.0,0.5175562593714944,0.93858653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89843377643734,8.851684399364323]}"
95,-14.649787,-15.353094,-8.599861,-10.030024,5.3230705,0,-0.7033079,-1.4301628,13.0,0.11086178976330174,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.90005074394877,8.733915265616254]}"
96,-15.947344,-25.782343,-11.607464,-19.79961,5.9827332,0,-9.834999,-8.192145,9.0,0.8329344472861138,2.0929313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89466085224404,8.831472305471635]}"
97,-15.045769,-15.753675,-7.726993,-9.228356,6.5253186,0,-0.70790625,-1.5013634,41.0,0.906303869521049,4.7788644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.79036644775778,9.307399742998157]}"
98,-15.649739,-17.838205,-10.571654,-11.38027,6.4579344,0,-2.188466,-0.8086163,19.0,0.33581285576146,1.8769251,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.5763877470805,8.901540897632957]}"
99,-13.4105015,-19.046736,-9.496367,-13.0712,5.9755344,0,-5.636234,-3.574833,100.0,0.06567162051222364,14.413881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9881754733209,9.107973749923623]}"
100,-18.277496,-20.844221,-11.481685,-15.449246,5.3949757,0,-2.566726,-3.9675612,222.0,0.3753757529132753,9.153822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.1498722244624,8.474391980034124]}"
101,-16.141703,-16.485611,-9.316468,-9.641959,6.8436513,0,-0.3439077,-0.32549107,24.0,0.07284071838584538,3.3676755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.01943684520825,8.770836023793567]}"
102,-13.911889,-15.579706,-7.8742785,-10.744113,4.8355927,0,-1.6678172,-2.869835,49.0,0.20958629359444347,4.185046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.7914444260987,9.33973909322646]}"
103,-15.027053,-29.29071,-11.369568,-22.440504,6.8502064,0,-14.263657,-11.070935,5.0,0.047616829248876225,3.3695877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86232150201575,9.068627540479188]}"
104,-16.714499,-17.591574,-11.105326,-13.369925,4.221649,0,-0.8770743,-2.2645984,43.0,0.5657775475426926,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.08465453483532,8.63474125824946]}"
105,-14.746431,-18.18297,-11.692003,-11.457501,6.72547,0,-3.4365392,0.23450238,36.0,0.10358138352815993,2.0777156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.10917854209178,8.560630247309598]}"
106,-16.689602,-20.980425,-11.166981,-14.581281,6.3991446,0,-4.290824,-3.4143002,61.0,0.214898041164732,12.966969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.09570381283,8.684328261932857]}"
107,-20.015173,-21.308212,-13.629267,-13.033175,8.275037,0,-1.2930396,0.59609133,11.0,0.9247064091470308,1.8780648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.871753812499,9.12117898460018]}"
108,-14.076995,-17.291195,-8.45304,-10.669725,6.62147,0,-3.2142005,-2.216685,73.0,0.8147229652042756,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.46562547254857,9.134653713861972]}"
109,-14.236002,-24.219896,-10.221989,-18.425629,5.7942677,0,-9.983894,-8.20364,12.0,0.5655409352359985,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.98062962493428,8.712355698797387]}"
110,-13.620463,-16.400414,-5.5672436,-7.310259,9.090156,0,-2.7799506,-1.7430153,99.0,0.2790525399798248,11.107826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.02105381271966,9.150284399805653]}"
111,-15.551737,-17.591928,-8.949929,-12.682371,4.9095564,0,-2.0401905,-3.7324421,34.0,0.8638847780155399,1.3189725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.78551554522352,8.632046312397101]}"
112,-14.640548,-17.350857,-8.9488535,-11.99743,5.353427,0,-2.710309,-3.0485764,24.0,0.3780784272607829,1.3188381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.0469252929023,8.555509850190118]}"
113,-16.780567,-19.665873,-11.671572,-11.856164,7.809708,0,-2.8853047,-0.18459246,69.0,0.32646543405619277,2.6389587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.70466716965277,9.288804616616883]}"
